,teams,img
27,  Stanford University , http://www.pointstreak.com/logos/small/league1800/team728698.png
28,  Texas AM University , http://www.pointstreak.com/logos/small/league1800/team754201.png
29,  Texas Christian University , http://www.pointstreak.com/logos/small/league1800/team721947.gif
30,  Texas State University , http://www.pointstreak.com/logos/small/league1800/team514164.gif
31,  Texas Tech University , http://www.pointstreak.com/logos/small/league1800/team508779.gif
32,  UC Davis , http://www.pointstreak.com/logos/small/league1800/team577190.gif
33,  UC Irvine , http://www.pointstreak.com/logos/small/league1800/team758389.gif
34,  UC San Diego , http://www.pointstreak.com/logos/small/league1800/team727181.gif
35,  UC Santa Barbara , http://www.pointstreak.com/logos/small/league1800/team627250.gif
36,  UC Santa Cruz , http://www.pointstreak.com/logos/small/league1800/team626188.png
37,  UCLA , http://www.pointstreak.com/logos/small/league1800/team514038.gif
38,  University of Colorado , http://www.pointstreak.com/logos/small/league1800/team631752.gif
39,  University of Denver , http://www.pointstreak.com/logos/small/league1800/team722340.png
40,  University of Idaho , http://www.pointstreak.com/logos/small/league1800/team526484.gif
41,  University of Jamestown , http://www.pointstreak.com/logos/small/league1800/team756972.png
42, #1 University of Mary , http://www.pointstreak.com/logos/small/league1800/team722470.png
43, , 
44,  University of Northern Colorado , http://www.pointstreak.com/logos/small/league1800/team580068.gif
45, #5 University of Oregon , http://www.pointstreak.com/logos/small/league1800/team724688.png
46, #2 University of Providence , http://www.pointstreak.com/logos/small/league1800/team723266.gif
47,  University of San Diego , http://www.pointstreak.com/logos/small/league1800/team722418.png
48,  University of Southern Cal. , http://www.pointstreak.com/logos/small/league1800/team624798.gif
49,  University of Texas , http://www.pointstreak.com/logos/small/league1800/team514165.gif
50,  University of Texas-El Paso , http://www.pointstreak.com/logos/small/league1800/team572766.gif
51,  University of Washington , http://www.pointstreak.com/logos/small/league1800/team723757.gif
52,  University of Wyoming , http://www.pointstreak.com/logos/small/league1800/team632947.gif
53, #8 Utah State University , http://www.pointstreak.com/logos/small/league1800/team724419.gif
54,  Utah Valley University , http://www.pointstreak.com/logos/small/league1800/team633036.png
55,  Washington State University , http://www.pointstreak.com/logos/small/league1800/team729140.png
56, #6 Weber State University , http://www.pointstreak.com/logos/small/league1800/team724680.png
57,  Western Washington University , http://www.pointstreak.com/logos/small/league1800/team722417.png
58,  Williston State College , http://www.pointstreak.com/logos/small/league1800/team624303.gif
